,Survived,Pclass,Sex,Age,Fare,Embarked,Title,GroupSize
0,0,3,0,22.0,7.25,0,3,2
1,1,1,1,38.0,71.2833,1,2,2
2,1,3,1,26.0,7.925,0,1,1
3,1,1,1,35.0,53.1,0,2,2
4,0,3,0,35.0,8.05,0,3,1
5,0,3,0,32.368090452261306,8.4583,2,3,1
6,0,1,0,54.0,51.8625,0,3,1
7,0,3,0,2.0,21.075,0,0,5
8,1,3,1,27.0,11.1333,0,2,3
9,1,2,1,14.0,30.0708,1,2,2
10,1,3,1,4.0,16.7,0,1,3
11,1,1,1,58.0,26.55,0,1,1
12,0,3,0,20.0,8.05,0,3,1
13,0,3,0,39.0,31.275,0,3,7
14,0,3,1,14.0,7.8542,0,1,1
15,1,2,1,55.0,16.0,0,2,1
16,0,3,0,2.0,29.125,2,0,6
17,1,2,0,32.368090452261306,13.0,0,3,1
18,0,3,1,31.0,18.0,0,2,2
19,1,3,1,35.898148148148145,7.225,1,2,1
20,0,2,0,35.0,26.0,0,3,1
21,1,2,0,34.0,13.0,0,3,1
22,1,3,1,15.0,8.0292,2,1,1
23,1,1,0,28.0,35.5,0,3,1
24,0,3,1,8.0,21.075,0,1,5
25,1,3,1,38.0,31.3875,0,2,7
26,0,3,0,32.368090452261306,7.225,1,3,1
27,0,1,0,19.0,263.0,0,3,6
28,1,3,1,21.773972602739725,7.8792,2,1,1
29,0,3,0,32.368090452261306,7.8958,0,3,1
30,0,1,0,40.0,27.7208,1,4,1
31,1,1,1,35.898148148148145,146.5208,1,2,2
32,1,3,1,21.773972602739725,7.75,2,1,1
33,0,2,0,66.0,10.5,0,3,1
34,0,1,0,28.0,82.1708,1,3,2
35,0,1,0,42.0,52.0,0,3,2
36,1,3,0,32.368090452261306,7.2292,1,3,1
37,0,3,0,21.0,8.05,0,3,1
38,0,3,1,18.0,18.0,0,1,3
39,1,3,1,14.0,11.2417,1,1,2
40,0,3,1,40.0,9.475,0,2,2
41,0,2,1,27.0,21.0,0,2,2
42,0,3,0,32.368090452261306,7.8958,1,3,1
43,1,2,1,3.0,41.5792,1,1,4
44,1,3,1,19.0,7.8792,2,1,1
45,0,3,0,32.368090452261306,8.05,0,3,1
46,0,3,0,32.368090452261306,15.5,2,3,2
47,1,3,1,21.773972602739725,7.75,2,1,1
48,0,3,0,32.368090452261306,21.6792,1,3,3
49,0,3,1,18.0,17.8,0,2,2
50,0,3,0,7.0,39.6875,0,0,6
51,0,3,0,21.0,7.8,0,3,1
52,1,1,1,49.0,76.7292,1,2,2
53,1,2,1,29.0,26.0,0,2,2
54,0,1,0,65.0,61.9792,1,3,2
55,1,1,0,32.368090452261306,35.5,0,3,1
56,1,2,1,21.0,10.5,0,1,1
57,0,3,0,28.5,7.2292,1,3,1
58,1,2,1,5.0,27.75,0,1,4
59,0,3,0,11.0,46.9,0,0,8
60,0,3,0,22.0,7.2292,1,3,1
61,1,1,1,38.0,80.0,0,1,1
62,0,1,0,45.0,83.475,0,3,2
63,0,3,0,4.0,27.9,0,0,6
64,0,1,0,32.368090452261306,27.7208,1,3,1
65,1,3,0,4.574166666666667,15.2458,1,0,3
